position_id,portfolio_id,instrument_id,position_date,quantity,market_value,cost_basis,currency
PS001,PF001,INS001,2024-01-31,10000,1520000.00,1400000.00,USD
PS002,PF001,INS002,2024-01-31,5000,375000.00,350000.00,USD
PS003,PF001,INS005,2024-01-31,-2000,-310000.00,-280000.00,USD
PS004,PF001,INS008,2024-01-31,8000,640000.00,600000.00,USD
PS005,PF002,INS003,2024-01-31,15000,1470000.00,1500000.00,USD
PS006,PF002,INS006,2024-01-31,20000,1860000.00,1800000.00,USD
PS007,PF002,INS010,2024-01-31,12000,576000.00,600000.00,USD
PS008,PF003,INS004,2024-01-31,25000,2375000.00,2000000.00,USD
PS009,PF003,INS007,2024-01-31,30000,1350000.00,1200000.00,USD
PS010,PF004,INS009,2024-01-31,50000,3750000.00,3500000.00,USD
PS011,PF004,INS011,2024-01-31,40000,4400000.00,4000000.00,USD
PS012,PF005,INS012,2024-01-31,100000,1000000.00,980000.00,USD
PS013,PF005,INS013,2024-01-31,60000,3600000.00,3300000.00,USD
PS014,PF001,INS001,2024-02-29,10000,1580000.00,1400000.00,USD
PS015,PF001,INS002,2024-02-29,5000,390000.00,350000.00,USD
PS016,PF001,INS005,2024-02-29,-2000,-320000.00,-280000.00,USD
PS017,PF001,INS008,2024-02-29,7500,615000.00,562500.00,USD
PS018,PF002,INS003,2024-02-29,15000,1500000.00,1500000.00,USD
PS019,PF002,INS006,2024-02-29,20000,1920000.00,1800000.00,USD
PS020,PF002,INS010,2024-02-29,12000,588000.00,600000.00,USD
PS021,PF003,INS004,2024-02-29,25000,2450000.00,2000000.00,USD
PS022,PF003,INS007,2024-02-29,30000,1380000.00,1200000.00,USD
PS023,PF004,INS009,2024-02-29,50000,3850000.00,3500000.00,USD
PS024,PF004,INS011,2024-02-29,40000,4520000.00,4000000.00,USD
PS025,PF005,INS012,2024-02-29,100000,1020000.00,980000.00,USD
PS026,PF005,INS013,2024-02-29,60000,3720000.00,3300000.00,USD
PS027,PF001,INS001,2024-03-31,10500,1638000.00,1470000.00,USD
PS028,PF001,INS002,2024-03-31,4500,360000.00,315000.00,USD
PS029,PF002,INS003,2024-03-31,14000,1428000.00,1400000.00,USD
PS030,PF002,INS006,2024-03-31,20000,1980000.00,1800000.00,USD
