trade_id,portfolio_id,instrument_id,counterparty_id,trade_date,settlement_date,trade_type,quantity,price,notional_amount,commission,currency,status
TR001,PF001,INS001,CP001,2023-01-15,2023-01-18,buy,5000,142.50,712500.00,356.25,USD,settled
TR002,PF001,INS002,CP001,2023-01-15,2023-01-18,buy,3000,240.00,720000.00,360.00,USD,settled
TR003,PF002,INS003,CP002,2023-02-01,2023-02-03,buy,10000,98.50,985000.00,492.50,USD,settled
TR004,PF002,INS006,CP002,2023-02-10,2023-02-13,buy,15000,90.00,1350000.00,675.00,USD,settled
TR005,PF001,INS005,CP004,2023-03-01,2023-03-03,sell_short,-2000,190.00,-380000.00,190.00,USD,settled
TR006,PF003,INS004,CP003,2023-03-15,2023-03-20,buy,25000,80.00,2000000.00,1000.00,USD,settled
TR007,PF003,INS007,CP003,2023-04-01,2023-04-05,buy,30000,40.00,1200000.00,600.00,USD,settled
TR008,PF001,INS008,CP004,2023-04-15,2023-04-18,buy,8000,75.00,600000.00,300.00,USD,settled
TR009,PF004,INS009,CP002,2023-05-01,2023-05-03,buy,50000,70.00,3500000.00,1750.00,USD,settled
TR010,PF004,INS011,CP002,2023-05-15,2023-05-18,buy,40000,100.00,4000000.00,2000.00,USD,settled
TR011,PF005,INS012,CP009,2023-06-01,2023-06-02,buy,100000,9.80,980000.00,490.00,USD,settled
TR012,PF005,INS013,CP005,2023-06-15,2023-06-16,buy,60000,55.00,3300000.00,1650.00,USD,settled
TR013,PF002,INS010,CP006,2023-07-01,2023-07-05,buy,12000,50.00,600000.00,300.00,USD,settled
TR014,PF001,INS001,CP001,2023-07-15,2023-07-18,buy,5000,150.00,750000.00,375.00,USD,settled
TR015,PF001,INS002,CP001,2023-08-01,2023-08-03,buy,2000,72.00,144000.00,72.00,USD,settled
TR016,PF002,INS006,CP002,2023-08-15,2023-08-18,buy,5000,92.00,460000.00,230.00,USD,settled
TR017,PF001,INS001,CP004,2023-09-01,2023-09-05,sell,2000,175.00,350000.00,175.00,USD,settled
TR018,PF005,INS013,CP005,2023-09-15,2023-09-16,sell,10000,58.00,580000.00,290.00,USD,settled
TR019,PF002,INS003,CP002,2023-10-01,2023-10-03,buy,5000,96.00,480000.00,240.00,USD,settled
TR020,PF004,INS011,CP003,2023-10-15,2023-10-18,buy,5000,105.00,525000.00,262.50,USD,settled
TR021,PF001,INS008,CP004,2023-11-01,2023-11-03,sell,500,82.00,41000.00,20.50,USD,settled
TR022,PF003,INS004,CP003,2023-11-15,2023-11-20,buy,5000,85.00,425000.00,212.50,USD,settled
TR023,PF002,INS010,CP006,2023-12-01,2023-12-05,sell,3000,48.00,144000.00,72.00,USD,settled
TR024,PF005,INS012,CP009,2023-12-15,2023-12-18,buy,20000,9.50,190000.00,95.00,USD,settled
TR025,PF001,INS001,CP001,2024-01-05,2024-01-08,buy,500,152.00,76000.00,38.00,USD,settled
TR026,PF001,INS002,CP001,2024-01-15,2024-01-18,sell,500,75.00,37500.00,18.75,USD,settled
TR027,PF002,INS003,CP002,2024-02-01,2024-02-05,sell,2000,100.00,200000.00,100.00,USD,settled
TR028,PF004,INS009,CP002,2024-02-15,2024-02-18,buy,5000,77.00,385000.00,192.50,USD,settled
TR029,PF001,INS005,CP004,2024-03-01,2024-03-05,buy,500,160.00,80000.00,40.00,USD,settled
TR030,PF003,INS007,CP003,2024-03-15,2024-03-20,sell,5000,46.00,230000.00,115.00,USD,settled
TR031,PF001,INS016,CP004,2023-02-15,2023-02-18,buy,3000,98.00,294000.00,147.00,USD,settled
TR032,PF002,INS017,CP006,2023-03-10,2023-03-13,buy,8000,112.00,896000.00,448.00,USD,settled
TR033,PF004,INS018,CP007,2023-06-20,2023-06-25,buy,10000,100.00,1000000.00,500.00,USD,settled
TR034,PF005,INS014,CP006,2023-07-10,2023-07-12,buy,50000,1.09,54500.00,27.25,USD,settled
TR035,PF005,INS015,CP005,2023-08-20,2023-08-22,buy,1000,1950.00,1950000.00,975.00,USD,settled
TR036,PF001,INS016,CP004,2024-01-20,2024-01-23,sell,1000,155.00,155000.00,77.50,USD,settled
TR037,PF002,INS017,CP006,2024-02-10,2024-02-13,sell,3000,115.00,345000.00,172.50,USD,settled
TR038,PF003,INS019,CP003,2023-04-15,2023-04-20,buy,20000,50.00,1000000.00,500.00,USD,settled
TR039,PF004,INS018,CP007,2024-01-10,2024-01-15,sell,2000,102.00,204000.00,102.00,USD,settled
TR040,PF005,INS015,CP005,2024-03-01,2024-03-03,sell,500,2050.00,1025000.00,512.50,USD,settled
