valuation_id,portfolio_id,valuation_date,gross_asset_value,net_asset_value,total_liabilities,unrealized_pnl,realized_pnl,valuation_method
VAL001,PF001,2023-03-31,7200000.00,7050000.00,150000.00,120000.00,15000.00,mark_to_market
VAL002,PF001,2023-06-30,7500000.00,7320000.00,180000.00,250000.00,45000.00,mark_to_market
VAL003,PF001,2023-09-30,7100000.00,6900000.00,200000.00,-150000.00,80000.00,mark_to_market
VAL004,PF001,2023-12-31,7800000.00,7600000.00,200000.00,300000.00,120000.00,mark_to_market
VAL005,PF001,2024-03-31,8100000.00,7880000.00,220000.00,480000.00,150000.00,mark_to_market
VAL006,PF002,2023-03-31,4200000.00,4100000.00,100000.00,-50000.00,10000.00,mark_to_market
VAL007,PF002,2023-06-30,4600000.00,4480000.00,120000.00,100000.00,30000.00,mark_to_market
VAL008,PF002,2023-09-30,5800000.00,5650000.00,150000.00,200000.00,50000.00,mark_to_market
VAL009,PF002,2023-12-31,6100000.00,5920000.00,180000.00,350000.00,80000.00,mark_to_market
VAL010,PF002,2024-03-31,5900000.00,5710000.00,190000.00,280000.00,100000.00,mark_to_market
VAL011,PF003,2023-06-30,11200000.00,10900000.00,300000.00,500000.00,0.00,dcf_model
VAL012,PF003,2023-09-30,11800000.00,11500000.00,300000.00,800000.00,0.00,dcf_model
VAL013,PF003,2023-12-31,12500000.00,12100000.00,400000.00,1200000.00,0.00,dcf_model
VAL014,PF003,2024-03-31,13200000.00,12800000.00,400000.00,1600000.00,50000.00,dcf_model
VAL015,PF004,2023-06-30,10500000.00,10200000.00,300000.00,200000.00,0.00,appraisal
VAL016,PF004,2023-09-30,10800000.00,10500000.00,300000.00,400000.00,100000.00,appraisal
VAL017,PF004,2023-12-31,11200000.00,10900000.00,300000.00,600000.00,250000.00,appraisal
VAL018,PF004,2024-03-31,11800000.00,11500000.00,300000.00,900000.00,400000.00,appraisal
VAL019,PF005,2023-09-30,6500000.00,6300000.00,200000.00,100000.00,50000.00,mark_to_market
VAL020,PF005,2023-12-31,6800000.00,6600000.00,200000.00,250000.00,120000.00,mark_to_market
VAL021,PF005,2024-03-31,7200000.00,7000000.00,200000.00,400000.00,200000.00,mark_to_market
